tile,dec,ra
CFIS_LSB.000.227.r,23.5,0.0
CFIS_LSB.000.228.r,24.0,0.0
CFIS_LSB.000.229.r,24.5,0.0
CFIS_LSB.000.230.r,25.0,0.0
CFIS_LSB.000.231.r,25.5,0.0
CFIS_LSB.000.232.r,26.0,0.0
CFIS_LSB.000.233.r,26.5,0.0
CFIS_LSB.000.234.r,27.0,0.0
CFIS_LSB.000.235.r,27.5,0.0
CFIS_LSB.000.236.r,28.0,0.0
CFIS_LSB.000.237.r,28.5,0.0
CFIS_LSB.000.238.r,29.0,0.0
CFIS_LSB.000.239.r,29.5,0.0
CFIS_LSB.000.240.r,30.0,0.0
CFIS_LSB.000.241.r,30.5,0.0
CFIS_LSB.000.242.r,31.0,0.0
CFIS_LSB.000.243.r,31.5,0.0
CFIS_LSB.000.244.r,32.0,0.0
CFIS_LSB.000.245.r,32.5,0.0
CFIS_LSB.000.246.r,33.0,0.0
CFIS_LSB.000.247.r,33.5,0.0
CFIS_LSB.000.248.r,34.0,0.0
CFIS_LSB.000.249.r,34.5,0.0
CFIS_LSB.000.250.r,35.0,0.0
CFIS_LSB.000.251.r,35.5,0.0
CFIS_LSB.000.252.r,36.0,0.0
CFIS_LSB.000.253.r,36.5,0.0
CFIS_LSB.000.254.r,37.0,0.0
CFIS_LSB.000.255.r,37.5,0.0
CFIS_LSB.001.227.r,23.5,0.5452205520289857
CFIS_LSB.001.228.r,24.0,0.5473181392530234
CFIS_LSB.001.229.r,24.5,0.5494739347734683
CFIS_LSB.001.230.r,25.0,0.5516889594812459
CFIS_LSB.001.231.r,25.5,0.5539642720412332
CFIS_LSB.001.232.r,26.0,0.5563009702375944
CFIS_LSB.001.233.r,26.5,0.558700192386119
CFIS_LSB.001.234.r,27.0,0.5611631188171804
CFIS_LSB.001.235.r,27.5,0.5636909734331712
CFIS_LSB.001.236.r,28.0,0.5662850253445195
CFIS_LSB.001.237.r,28.5,0.5689465905886651
CFIS_LSB.001.238.r,29.0,0.57167703393666
CFIS_LSB.001.239.r,29.5,0.5744777707923753
CFIS_LSB.001.240.r,30.0,0.5773502691896257
CFIS_LSB.001.241.r,30.5,0.5802960518928866
CFIS_LSB.001.242.r,31.0,0.5833166986076652
CFIS_LSB.001.243.r,31.5,0.5864138483070045
